"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","cond_pos","cond_neg","message_choice","choice_dom","choice_nondom","comp_dom_1","comp_nondom_1","attitude_dom","attitude_nondom","preference","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2","CWV_3","CWV_4","CWV_5","CWV_6","CWV_7","CWV_8","CWV_9","CWV_10","check_1","check_2","age","gender_.99_TEXT","race_5_TEXT","feedback","cond","cond_word","cond_word1","Employment_1","Employment_2","Employment_3","Employment_4","Employment_5","Employment_6","Employment_7","Employment_8","Employment_9","gender","race_1","race_2","race_3","race_4","race_5","race_6","income","edu"
1,"0","100","175","1","1","4","It starts out positive, which is good. It is strongly worded, so that the person knows that it is up to them to do the job well and to get the bonus. ","","1","1","","25","","4","","4","9","21","25","42","37","27","25","15","20","19","3","5","4","4","5","4","5","6","5","4","5","blue","45","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","GED"
2,"0","100","208","1","1","4","I think this message is encouraging and also acknowledging that the employee is capable of doing the task and knowing what is ahead.","","1","1","","40","","6","","5","0","5","10","15","30","40","51","65","80","100","4","5","1","2","7","2","6","1","5","6","5","Red","27","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$120,001-$140,000","4yearColl"
3,"0","100","256","1","1","4","I believe in a positive management style, as that is what I respond to better and what I have witnessed most other people responding better to.","","2","","1","","40","","5","4","69","71","74","78","81","85","88","92","95","100","3","2","4","3","7","2","6","1","6","5","5","orange","36","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$80,001-$100,000","MA"
4,"0","100","288","1","1","4","They might be motivated at the possibility of earning a bonus for their work. They also might find tougher words motivating.","","1","1","","35","","5","","4","0","5","10","15","20","25","36","50","70","80","5","2","1","3","3","3","6","1","5","3","5","Green","28","","","","pos","positively","positive","Full-time","","","","","","","","","man","asian","","white","","","","$160,001-$180,000","4yearColl"
5,"0","100","288","1","1","4","","The employee could feel negative pressure. The relationship between manager and employee could be fractured. If my boss sent this to me, I would begin looking for a new job.","2","","1","","50","","3","6","0","0","0","0","25","80","85","90","95","100","3","6","1","2","5","2","6","2","6","6","5","blue","36","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$140,001-$160,000","MA"
6,"0","100","303","1","1","4","No one wants someone to speak demeaningly to them. Honey attracts, vinegar offends. It's motivating to be spoken to with positivity.","","2","","1","","50","","6","6","100","100","100","100","100","100","100","100","100","100","1","6","1","1","6","1","6","1","6","4","5","Lavendar","62","","","Have a blessed day!","pos","positively","positive","","Part-time","","","","","","","","woman","","","white","","","","$20,001-$40,000","2yearColl"
7,"0","100","227","1","1","4","","I feel like the message is a tad harsh to be honest. It’s a little aggressive and just not that nice.","2","","2","","27","","1","6","11","22","42","57","66","76","80","85","82","98","4","6","3","3","7","5","6","2","6","2","5","Purple ","24","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$60,001-$80,000","4yearColl"
8,"0","100","264","1","1","4","","I think they would feel as if their manager isn't encouraging them to earn the bonus.  I think they would feel their manager doesn't believe in their ability to get the bonus.","2","","2","","29","","2","6","100","100","100","100","100","100","100","100","100","100","5","5","1","2","6","5","7","3","5","5","5","blue","45","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$100,001-$120,000","GED"
9,"0","100","217","1","1","4","They might think the manager has confidence they can do the job well and that is why they were chosen for the task. ","","2","","2","","25","","1","6","10","20","30","40","100","100","100","100","100","100","1","6","1","1","7","1","7","1","4","5","5","blue","44","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$100,001-$120,000","4yearColl"
10,"0","100","338","1","1","4","The employee might think that they respect their manager and appreciate the effort they do to running the department, so they will do their best to ensure work is done correctly. ","","2","","1","","47","","3","6","10","15","20","40","50","75","75","75","100","100","2","5","3","1","6","2","5","2","4","5","5","Black","33","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$60,001-$80,000","PHD"
